# The numbered rules of KM43 as of origin89hq/km43 712046df4a6a684fb68881219e5e00b74fa3fee4, extracted from PROTOCOL.md and LINK.md.
# A pinned copy until km43 ships the index (origin89hq/km43#31); regenerate with `cargo xtask km43-index` once it does.
id	document	section	first sentence
P-001	docs/PROTOCOL.md	How to read this	An implementation MUST reproduce every vector in
P-005	docs/PROTOCOL.md	Reported by the controller	The controller MUST report keys 12 to 17 with the values it actually
P-006	docs/PROTOCOL.md	Reported by the controller	`max_channels` (key 13) MUST only ever be reported **downward from
P-002	docs/PROTOCOL.md	Neither fixed nor reported	A receiver MUST size its frame buffer at `MAX_FRAME` and MUST
P-003	docs/PROTOCOL.md	Neither fixed nor reported	Refusing MUST be preferred to evicting.
P-169	docs/PROTOCOL.md	Neither fixed nor reported	The concern table MUST refuse rather than evict, MUST reserve
P-004	docs/PROTOCOL.md	Neither fixed nor reported	Every duration in this document MUST be measured on a **monotonic
P-010	docs/PROTOCOL.md	Encoding	Envelopes MUST be CBOR arrays.
P-011	docs/PROTOCOL.md	Encoding	Bodies MUST be CBOR maps with **integer keys only**.
P-012	docs/PROTOCOL.md	Encoding	A retired field number MUST NOT be reused.
P-013	docs/PROTOCOL.md	Encoding	A decoder MUST skip map keys it does not recognise, and MUST NOT
P-014	docs/PROTOCOL.md	Encoding	A decoder MUST reject an **enum discriminant** it does not
P-019	docs/PROTOCOL.md	Encoding	P-014 has exactly one exception: the vendor and experimental range
P-015	docs/PROTOCOL.md	Encoding	Every key listed in a body definition below is REQUIRED unless
P-016	docs/PROTOCOL.md	Encoding	Encoders MUST emit RFC 8949 §4.2 deterministic encoding: shortest
P-017	docs/PROTOCOL.md	Encoding	Authentication MUST NOT depend on P-016.
P-018	docs/PROTOCOL.md	Encoding	Floating point MUST NOT appear on the wire.
P-028	docs/PROTOCOL.md	Envelope	The **array length is the extension point**.
P-029	docs/PROTOCOL.md	Envelope	Every `seq` bound in this document names the **first position
P-020	docs/PROTOCOL.md	Envelope	`type` with the high bit set means *response to a request*.
P-021	docs/PROTOCOL.md	Envelope	A client that has no session yet MUST send `session_id = 0`, and MUST
P-026	docs/PROTOCOL.md	Envelope	The controller MUST answer a pre-session request — `Discover 0x80`,
P-022	docs/PROTOCOL.md	Envelope	`req_id` is a **`u32`**, MUST be **strictly increasing within a
P-023	docs/PROTOCOL.md	Envelope	For an unsolicited `Event` the sender MUST set `req_id = 0`, and it
P-024	docs/PROTOCOL.md	Envelope	A client MUST drop a response whose `(session_id, req_id)` matches no
P-025	docs/PROTOCOL.md	Envelope	A frame too malformed to parse its envelope MUST be answered with
P-027	docs/PROTOCOL.md	Envelope	An `Error` answering a frame whose envelope parsed MUST echo that
P-030	docs/PROTOCOL.md	UART — controller ↔ comms processor	A receiver MUST resynchronise by reading to the next `0x00`.
P-031	docs/PROTOCOL.md	UART — controller ↔ comms processor	A frame failing its CRC MUST be dropped silently.
P-032	docs/PROTOCOL.md	UART — controller ↔ comms processor	A COBS code byte of `0x00` inside a frame, or a block running past
P-033	docs/PROTOCOL.md	UART — controller ↔ comms processor	RTS/CTS is REQUIRED at this rate and the production connector MUST
P-034	docs/PROTOCOL.md	WebSocket	One protocol message per binary WebSocket frame.
P-035	docs/PROTOCOL.md	USB CDC	As UART, including COBS and the CRC, without the flow-control
P-036	docs/PROTOCOL.md	BLE GATT	`flags` bit 7 (`0x80`) is `last`; bits 6–0 are the fragment index,
P-037	docs/PROTOCOL.md	BLE GATT	Fragment data MUST be at most `ATT_MTU − 5` bytes: three for the ATT
P-039	docs/PROTOCOL.md	BLE GATT	`msg_id` identifies the protocol message a fragment belongs to.
P-038	docs/PROTOCOL.md	MQTT	`<device_id>` MUST be the 16 bytes rendered as 32 **lowercase**
P-040	docs/PROTOCOL.md	Cryptographic conventions	Every integer entering a MAC or a KDF MUST be encoded **big-endian,
P-041	docs/PROTOCOL.md	Cryptographic conventions	`HMAC` means **HMAC-SHA256**.
P-042	docs/PROTOCOL.md	Cryptographic conventions	`HKDF` means **HKDF-SHA256** (RFC 5869) with `salt`, `IKM` and `info`
P-043	docs/PROTOCOL.md	Cryptographic conventions	Every **domain input** MUST begin with its label, so a value computed
P-085	docs/PROTOCOL.md	Key derivation	`epoch` is a `u32` monotonic counter in FRAM.
P-086	docs/PROTOCOL.md	Key derivation	`client_id` MUST be allocated as the **lowest free slot index in the
P-087	docs/PROTOCOL.md	Key derivation	`Discover 0x80` MUST carry the current `epoch` (key 8), so a client
P-088	docs/PROTOCOL.md	Key derivation	`printed_secret` MUST NOT be used directly as an HMAC key.
P-044	docs/PROTOCOL.md	Key derivation	`printed_secret` MUST be exactly **32 bytes of entropy**, carried in
P-045	docs/PROTOCOL.md	Key derivation	No key is ever transmitted.
P-049	docs/PROTOCOL.md	Key derivation	The QR code payload MUST be exactly
P-046	docs/PROTOCOL.md	Message authentication	`type` MUST be inside every preimage, so a signed `SetConfig` cannot
P-047	docs/PROTOCOL.md	Message authentication	`req_id` MUST be inside both the request and the response preimage.
P-048	docs/PROTOCOL.md	Message authentication	`operation` and `payload` are **byte strings carried on the wire**,
P-050	docs/PROTOCOL.md	Authenticated bodies	Every message listed in P-052 has a body that is exactly this
P-051	docs/PROTOCOL.md	Authenticated bodies	For every message in P-052 a receiver MUST verify the MAC **before**
P-052	docs/PROTOCOL.md	Authenticated bodies	The following are authenticated by the wrapper above under
P-053	docs/PROTOCOL.md	Authenticated bodies	Signed requests (`0x07`, `0x08`, `0x09`, `0x0A`) use the signed body
P-054	docs/PROTOCOL.md	Authenticated bodies	`0x00`/`0x80` (Discover) are **unauthenticated**: no key exists yet.
P-055	docs/PROTOCOL.md	Authenticated bodies	A client MUST NOT render an unauthenticated message as a statement
